,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,state
1579,1579,0.7249173320282848,2021-02-22 05:52:43.454861,2021-02-22 05:54:08.712378,0 days 00:01:25.257517,0.00033630811248837566,80,0.9947134327644873,6.88754524511838,0.7121025388217895,COMPLETE
1580,1580,0.727034685884705,2021-02-22 05:54:08.713627,2021-02-22 05:55:34.062013,0 days 00:01:25.348386,0.0004052559554264507,90,0.995064701663116,5.2885093205944465,0.7108701010598965,COMPLETE
1581,1581,0.7238235566816424,2021-02-22 05:55:34.063258,2021-02-22 05:56:59.472473,0 days 00:01:25.409215,0.00026484858904778915,80,0.9951836451083534,5.698332589315589,0.7091446881932463,COMPLETE
1582,1582,0.6995316736504806,2021-02-22 05:56:59.473734,2021-02-22 05:57:10.675510,0 days 00:00:11.201776,9.167152860193079e-05,70,0.9944035147811914,4.887877501497723,0.6995316736504806,PRUNED
1583,1583,0.7032289869361598,2021-02-22 05:57:10.676243,2021-02-22 05:57:21.978616,0 days 00:00:11.302373,0.00015115126431408064,80,0.9987580855394905,6.487006206118503,0.7032289869361598,PRUNED
1584,1584,0.7056938624599458,2021-02-22 05:57:21.979381,2021-02-22 05:57:33.211516,0 days 00:00:11.232135,7.477490727926701e-05,70,0.9946346123978249,5.990791571473509,0.7056938624599458,PRUNED
1585,1585,0.7017500616218881,2021-02-22 05:57:33.212262,2021-02-22 05:57:44.456037,0 days 00:00:11.243775,0.00033983117455815744,80,0.9939521953552763,4.630454578211172,0.7017500616218881,PRUNED
1586,1586,0.7056938624599458,2021-02-22 05:57:44.456808,2021-02-22 05:57:55.704682,0 days 00:00:11.247874,0.00011981891974106222,80,0.9952603053222783,1.751941322381362,0.7056938624599458,PRUNED
1587,1587,0.7049543998028099,2021-02-22 05:57:55.705406,2021-02-22 05:58:07.013355,0 days 00:00:11.307949,0.014558005307468175,80,0.9941965575016259,5.1383661298149175,0.7049543998028099,PRUNED
1588,1588,0.7059403500123244,2021-02-22 05:58:07.014124,2021-02-22 05:58:18.208159,0 days 00:00:11.194035,0.0003050908171315547,90,0.9963180043849159,17.606885360847503,0.7059403500123244,PRUNED
1589,1589,0.7056938624599458,2021-02-22 05:58:18.208915,2021-02-22 05:58:29.579016,0 days 00:00:11.370101,0.00022049403593722534,80,0.9944920777466038,4.2442488432141285,0.7056938624599458,PRUNED
1590,1590,0.7052008873551886,2021-02-22 05:58:29.579814,2021-02-22 05:58:40.794044,0 days 00:00:11.214230,0.00042664413849143225,70,0.9957739027264453,19.41753962025624,0.7052008873551886,PRUNED
1591,1591,0.6946019226029085,2021-02-22 05:58:40.794883,2021-02-22 05:58:52.123432,0 days 00:00:11.328549,0.00026245909558180705,80,0.9937347562179245,0.96150141007109,0.6946019226029085,PRUNED
1592,1592,0.7064333251170816,2021-02-22 05:58:52.124176,2021-02-22 05:59:03.405420,0 days 00:00:11.281244,0.00038433433807011434,60,0.9949370809299586,3.6521347102925175,0.7064333251170816,PRUNED
1593,1593,0.7039684495932955,2021-02-22 05:59:03.406197,2021-02-22 05:59:14.696067,0 days 00:00:11.289870,0.00031568338104973813,70,0.9966108388561457,6.941946729727995,0.7039684495932955,PRUNED
1594,1594,0.736114509113458,2021-02-22 05:59:14.696841,2021-02-22 06:00:39.768589,0 days 00:01:25.071748,0.00019828312550224537,80,0.9952162060544311,5.57592804775903,0.716785802316983,COMPLETE
1595,1595,0.7224717065612264,2021-02-22 06:00:39.769875,2021-02-22 06:02:05.281883,0 days 00:01:25.512008,0.0001693628812532148,80,0.9950456752178735,5.435484026245934,0.7096376632980035,COMPLETE
1596,1596,0.7247764339244179,2021-02-22 06:02:05.283162,2021-02-22 06:03:30.410957,0 days 00:01:25.127795,0.0001552821755180859,80,0.9952504571586416,5.409517813514682,0.7084052255361104,COMPLETE
1597,1597,0.7052008873551886,2021-02-22 06:03:30.412198,2021-02-22 06:03:41.706937,0 days 00:00:11.294739,0.0001849526235108541,80,0.9955055004073529,5.683559582619846,0.7052008873551886,PRUNED
1598,1598,0.703721962040917,2021-02-22 06:03:41.707739,2021-02-22 06:03:53.095215,0 days 00:00:11.387476,0.00018467708282782417,80,0.995386003847341,5.37959767203722,0.703721962040917,PRUNED
